Reference,Date,Title
EN 196-7:2007,2007-12-05 00:00:00.0000000,Methods of testing cement - Part 7: Methods of taking and preparing samples of cement
EN 14647:2005,2005-10-19 00:00:00.0000000,"Calcium aluminate cement - Composition, specifications and conformity criteria"
EN 413-1:2011,2011-04-20 00:00:00.0000000,"Masonry cement - Part 1: Composition, specifications and conformity criteria"
EN 196-2:2013,2013-06-12 00:00:00.0000000,Method of testing cement - Part 2: Chemical analysis of cement
EN ISO 18233:2006,2006-06-01 00:00:00.0000000,Acoustics - Application of new measurement methods in building and room acoustics (ISO 18233:2006)
EN ISO 10140-2:2010,2010-09-01 00:00:00.0000000,Acoustics - Laboratory measurement of sound insulation of building elements - Part 2: Measurement of airborne sound insulation (ISO 10140-2:2010)
EN ISO 3382-2:2008,2008-06-15 00:00:00.0000000,Acoustics - Measurement of room acoustic parameters - Part 2: Reverberation time in ordinary rooms (ISO 3382-2:2008)
EN ISO 10140-3:2010,2010-09-01 00:00:00.0000000,Acoustics - Laboratory measurement of sound insulation of building elements - Part 3: Measurement of impact sound insulation (ISO 10140-3:2010)
EN ISO 10140-5:2010,2010-09-01 00:00:00.0000000,Acoustics - Laboratory measurement of sound insulation of building elements - Part 5: Requirements for test facilities and equipment (ISO 10140-5:2010)
EN ISO 3822-1:1999/A1:2008,2008-12-15 00:00:00.0000000,Acoustics - Laboratory tests on noise emission from appliances and equipment used in water supply installations - Part 1: Method of measurement - Amendment 1: Measurement uncertainty (ISO 3822-1:1999/Amd 1:2008)
EN ISO 3822-2:1995,1995-03-28 00:00:00.0000000,Acoustics - Laboratory tests on noise emission from appliances and equipment used in water supply installations - Part 2: Mounting and operating conditions for draw-off taps and mixing valves (ISO 3822-2:1995)
EN 29052-1:1992,1992-06-30 00:00:00.0000000,Acoustics - Determination of dynamic stiffness - Part 1: Materials used under floating floors in dwellings
EN ISO 10534-1:2001,2001-06-20 00:00:00.0000000,Acoustics - Determination of sound absorption coefficient and impedance in impedances tubes - Part 1: Method using standing wave ratio (ISO 10534-1:1996)
EN ISO 10534-2:2001,2001-06-20 00:00:00.0000000,Acoustics - Determination of sound absorption coefficient and impedance in impedances tubes - Part 2: Transfer-function method (ISO 10534-2:1998)
EN ISO 3822-1:1999,1999-05-15 00:00:00.0000000,Acoustics - Laboratory tests on noise emission from appliances and equipment used in water supply installations - Part 1: Method of measurement (ISO 3822-1:1999)
EN ISO 11654:1997,1997-04-01 00:00:00.0000000,Acoustics - Sound absorbers for use in buildings - Rating of sound absorption (ISO 11654:1997)
EN ISO 12354-1:2017,2017-08-16 00:00:00.0000000,Building acoustics - Estimation of acoustic performance of buildings from the performance of elements - Part 1: Airborne sound insulation between rooms (ISO 12354-1:2017)
EN ISO 12354-2:2017,2017-08-16 00:00:00.0000000,Building acoustics - Estimation of acoustic performance of buildings from the performance of elements - Part 2: Impact sound insulation between rooms (ISO 12354-2:2017)
EN ISO 12354-3:2017,2017-08-16 00:00:00.0000000,Building acoustics - Estimation of acoustic performance of buildings from the performance of elements - Part 3: Airborne sound insulation against outdoor sound (ISO 12354-3:2017)
EN ISO 12354-4:2017,2017-08-16 00:00:00.0000000,Building acoustics - Estimation of acoustic performance of buildings from the performance of elements - Part 4: Transmission of indoor sound to the outside (ISO 12354-4:2017)
EN ISO 3382-1:2009,2009-06-15 00:00:00.0000000,Acoustics - Measurement of room acoustic parameters - Part 1: Performance spaces (ISO 3382-1:2009)
EN ISO 16032:2004,2004-09-15 00:00:00.0000000,Acoustics - Measurement of sound pressure level from service equipment in buildings - Engineering method (ISO 16032:2004)
EN ISO 3382-3:2012,2012-02-01 00:00:00.0000000,Acoustics - Measurement of room acoustic parameters - Part 3: Open plan offices (ISO 3382-3:2012)
EN ISO 717-1:2013,2013-03-06 00:00:00.0000000,Acoustics - Rating of sound insulation in buildings and of building elements - Part 1: Airborne sound insulation (ISO 717-1:2013)
EN ISO 717-2:2013,2013-03-06 00:00:00.0000000,Acoustics - Rating of sound insulation in buildings and of building elements - Part 2: Impact sound insulation (ISO 717-2:2013)
EN ISO 15186-2:2010,2010-09-01 00:00:00.0000000,Acoustics - Measurement of sound insulation in buildings and of building elements using sound intensity - Part 2: Field measurements (ISO 15186-2:2003)
EN ISO 15186-3:2010,2010-09-01 00:00:00.0000000,Acoustics - Measurement of sound insulation in buildings and of building elements using sound intensity - Part 3: Laboratory measurements at low frequencies (ISO 15186-3:2002)
EN ISO 3382-2:2008/AC:2009,2009-05-27 00:00:00.0000000,Acoustics - Measurement of room acoustic parameters - Part 2: Reverberation time in ordinary rooms (ISO 3382-2:2008/Cor 1:2009)
EN ISO 10052:2004/A1:2010,2010-05-15 00:00:00.0000000,Acoustics - Field measurements of airborne and impact sound insulation and of service equipment sound - Survey method - Amendment 1 (ISO 10052:2004/Amd 1:2010)
EN ISO 12999-1:2014,2014-05-21 00:00:00.0000000,Acoustics - Determination and application of measurement uncertainties in building acoustics - Part 1: Sound insulation (ISO 12999-1:2014)
EN ISO 10140-5:2010/A1:2014,2014-05-07 00:00:00.0000000,Acoustics - Laboratory measurement of sound insulation of building elements - Part 5: Requirements for test facilities and equipment - Amendment 1: Rainfall sound (ISO 10140-5:2010/Amd 1:2014)
EN 12354-5:2009/AC:2010,2010-10-20 00:00:00.0000000,Building acoustics - Estimation of acoustic performance of building from the performance of elements - Part 5: Sounds levels due to the service equipment
EN ISO 16283-3:2016,2016-02-24 00:00:00.0000000,Acoustics - Field measurement of sound insulation in buildings and of building elements - Part 3: Façade sound insulation (ISO 16283-3:2016)
EN 16703:2015,2015-09-16 00:00:00.0000000,Acoustics - Test code for drywall systems of plasterboard with steel studs - Airborne sound insulation
EN ISO 10140-3:2010/A1:2015,2015-06-10 00:00:00.0000000,Acoustics - Laboratory measurement of sound insulation of building elements - Part 3: Measurement of impact sound insulation - Amendment 1 (ISO 10140-3:2010/Amd 1:2015)
EN ISO 10848-4:2017,2017-10-25 00:00:00.0000000,"Acoustics - Laboratory and field measurement of flanking transmission for airborne, impact and building service equipment sound between adjoining rooms - Part 4: Application to junctions with at least one Type A element (ISO 10848-4:2017)"
EN ISO 3822-3:2018,2018-02-07 00:00:00.0000000,Acoustics - Laboratory tests on noise emission from appliances and equipment used in water supply installations - Part 3: Mounting and operating conditions for in-line valves and appliances (ISO 3822-3:2018)
EN ISO 16283-1:2014/A1:2017,2017-12-06 00:00:00.0000000,Acoustics - Field measurement of sound insulation in buildings and of building elements - Part 1: Airborne sound insulation - Amendment 1 (ISO 16283-1:2014/Amd 1:2017)
EN 16205:2013+A1:2018,2018-03-21 00:00:00.0000000,Laboratory measurement of walking noise on floors
EN ISO 10848-3:2017,2017-10-25 00:00:00.0000000,"Acoustics - Laboratory and field measurement of flanking transmission for airborne, impact and building service equipment sound between adjoining rooms - Part 3: Application to Type B elements when the junction has a substantial influence (ISO 10848-3:2017)"
CEN/TR 16961:2018,2018-05-23 00:00:00.0000000,Declaration of uncertainties in test reports
EN ISO 10848-2:2017,2017-10-25 00:00:00.0000000,"Acoustics - Laboratory and field measurement of flanking transmission for airborne, impact and building service equipment sound between adjoining rooms - Part 2: Application to Type B elements when the junction has a small influence (ISO 10848-2:2017)"
EN ISO 16283-2:2020,2020-08-26 00:00:00.0000000,Acoustics - Field measurement of sound insulation in buildings and of building elements - Part 2: Impact sound insulation (ISO 16283-2:2020)
EN 15657:2017,2017-07-19 00:00:00.0000000,Acoustic properties of building elements and of buildings - Laboratory measurement of structure-borne sound from building service equipment for all installation conditions
EN ISO 10140-1:2016,2016-08-24 00:00:00.0000000,Acoustics - Laboratory measurement of sound insulation of building elements - Part 1: Application rules for specific products (ISO 10140-1:2016)
CEN/TR 15226:2006,2006-03-29 00:00:00.0000000,Building products - Treatment of acoustics in product technical specifications
EN 14366:2004+A1:2019,2019-10-30 00:00:00.0000000,Laboratory measurement of noise from waste water installations
EN ISO 10140-4:2010,2010-09-01 00:00:00.0000000,Acoustics - Laboratory measurement of sound insulation of building elements - Part 4: Measurement procedures and requirements (ISO 10140-4:2010)
EN 12354-6:2003,2003-12-17 00:00:00.0000000,Building acoustics - Estimation of acoustic performance of buildings from the performance of elements - Part 6: Sound absorption in enclosed spaces
EN ISO 10848-1:2017,2017-10-25 00:00:00.0000000,"Acoustics - Laboratory and field measurement of flanking transmission for airborne, impact and building service equipment sound between adjoining rooms - Part 1: Frame document (ISO 10848-1:2017)"
EN ISO 16251-1:2014,2014-08-06 00:00:00.0000000,Acoustics - Laboratory measurement of the reduction of transmitted impact noise by floor coverings on a small floor mock-up - Part 1: Heavyweight compact floor (ISO 16251-1:2014)
EN 12354-5:2009,2009-04-01 00:00:00.0000000,Building acoustics - Estimation of acoustic performance of building from the performance of elements - Part 5: Sounds levels due to the service equipment
EN ISO 12999-2:2020,2020-07-08 00:00:00.0000000,Acoustics - Determination and application of measurement uncertainties in building acoustics - Part 2: Sound absorption (ISO 12999-2:2020)
EN ISO 9053-1:2018,2018-12-12 00:00:00.0000000,Acoustics - Determination of airflow resistance - Part 1: Static airflow method (ISO 9053-1:2018)
EN ISO 3822-4:1997,1997-01-15 00:00:00.0000000,Acoustics - Laboratory tests on noise emission from appliances and equipment used in water supply installations - Part 4: Mounting and operating conditions for special appliances
EN ISO 15186-1:2003,2003-07-30 00:00:00.0000000,Acoustics - Measurement of sound insulation in buildings and of building elements using sound intensity - Part 1: Laboratory measurements (ISO 15186-1:2000)
EN ISO 16283-1:2014,2014-02-19 00:00:00.0000000,Acoustics - Field measurement of sound insulation in buildings and of building elements - Part 1: Airborne sound insulation (ISO 16283-1:2014)
EN ISO 354:2003,2003-05-15 00:00:00.0000000,Acoustics - Measurement of sound absorption in a reverberation room (ISO 354:2003)
EN 16487:2014,2014-11-12 00:00:00.0000000,Acoustics - Test code for suspended ceilings - Sound absorption
EN ISO 10052:2004,2004-12-15 00:00:00.0000000,Acoustics - Field measurements of airborne and impact sound insulation and of service equipment sound - Survey method (ISO 10052:2004)
EN 1748-2-1:2004,2004-09-08 00:00:00.0000000,Glass in building - Special basic products - Glass ceramics - Part 2-1  Definitions and general physical and mechanical properties
EN ISO 14438:2002,2002-06-15 00:00:00.0000000,Glass in building - Determination of energy balance value - Calculation method (ISO 14438:2002)
EN 14178-1:2004,2004-10-13 00:00:00.0000000,Glass in building - Basic alkaline earth silicate glass products - Part 1: Float glass
EN 14178-2:2004,2004-10-13 00:00:00.0000000,Glass in building - Basic alkaline earth silicate glass products - Part 2: Evaluation of conformity/Product standard
EN 1748-1-1:2004,2004-09-08 00:00:00.0000000,Glass in building - Special basic products -Borosilicate glasses - Part 1-1: Definition and general physical and mechanical properties
EN 14449:2005/AC:2005,2005-12-07 00:00:00.0000000,Glass in building - Laminated glass and laminated safety glass - Evaluation of conformity/Product standard
EN ISO 12543-5:2011,2011-08-15 00:00:00.0000000,Glass in building - Laminated glass and laminated safety glass - Part 5: Dimensions and edge finishing (ISO 12543-5:2011)
EN ISO 12543-2:2011,2011-08-15 00:00:00.0000000,Glass in building - Laminated glass and laminated safety glass - Part 2: Laminated safety glass (ISO 12543-2:2011)
EN ISO 12543-4:2011,2011-08-15 00:00:00.0000000,Glass in building - Laminated glass and laminated safety glass - Part 4: Test methods for durability (ISO 12543-4:2011)
EN ISO 12543-3:2011,2011-08-15 00:00:00.0000000,Glass in building - Laminated glass and laminated safety glass - Part 3: Laminated glass (ISO 12543-3:2011)
EN 13024-1:2011,2011-11-30 00:00:00.0000000,Glass in building - Thermally toughened borosilicate safety glass - Part 1: Definition and description
EN 1863-1:2011,2011-11-30 00:00:00.0000000,Glass in building - Heat strengthened soda lime silicate glass - Part 1: Definition and description
EN 15681-1:2016,2016-01-27 00:00:00.0000000,Glass in building - Basic alumino silicate glass products - Part 1: Definitions and general physical and mechanical properties
EN 1096-5:2016,2016-01-27 00:00:00.0000000,Glass in building - Coated glass - Part 5 - Test method and classification for the self-cleaning performances of coated glass surfaces
EN 15681-2:2017,2017-02-15 00:00:00.0000000,Glass in Building - Basic alumino silicate glass products - Part 2: Product standard
EN 16612:2019,2019-10-16 00:00:00.0000000,Glass in building - Determination of the lateral load resistance of glass panes by calculation
EN 12150-1:2015+A1:2019,2019-05-08 00:00:00.0000000,Glass in building - Thermally toughened soda lime silicate safety glass - Part 1: Definition and description
EN 1096-4:2018,2018-08-22 00:00:00.0000000,Glass in building - Coated glass - Part 4: Product standard
EN 1279-6:2018,2018-07-25 00:00:00.0000000,Glass in building - Insulating glass units - Part 6: Factory production control and periodic tests
EN 1279-3:2018,2018-07-25 00:00:00.0000000,Glass in building - Insulating glass units - Part 3: Long term test method and requirements for gas leakage rate and for gas concentration tolerances
EN 1279-5:2018,2018-07-25 00:00:00.0000000,Glass in building - Insulating glass units - Part 5: Product standard
EN 1279-1:2018,2018-07-25 00:00:00.0000000,"Glass in Building - Insulating glass units - Part 1: Generalities, system description, rules for substitution, tolerances and visual quality"
EN 14179-1:2016,2016-07-27 00:00:00.0000000,Glass in building - Heat soaked thermally toughened soda lime silicate safety glass - Part 1: Definition and description
EN 17074:2019,2019-10-23 00:00:00.0000000,Glass in building - Environmental product declaration - Product category rules for flat glass products
EN 12898:2019,2019-03-13 00:00:00.0000000,Glass in building - Determination of the emissivity
EN 12488:2016,2016-06-29 00:00:00.0000000,Glass in building - Glazing recommendations - Assembly principles for vertical and sloping glazing
EN 1748-1-2:2004,2004-10-06 00:00:00.0000000,Glass in building - Special basic products - Borosilicate glasses - Part 1-2: Evaluation of conformity/Product standard
EN 1748-2-2:2004,2004-10-06 00:00:00.0000000,Glass in building - Special basic products - Glass ceramics  - Part 2-2: Evaluation of conformity/Product standard
EN 572-9:2004,2004-10-06 00:00:00.0000000,Glass in building - Basic soda lime silicate glass products - Part 9: Evaluation of conformity/Product standard
EN ISO 12543-6:2011/AC:2012,2012-05-15 00:00:00.0000000,Glass in building - Laminated glass and laminated safety glass - Part 6: Appearance - Technical Corrigendum 1 (ISO 12543-6:2011/Cor 1:2012)
EN 16613:2019,2019-10-16 00:00:00.0000000,Glass in building - Laminated glass and laminated safety glass - Determination of interlayer viscoelastic properties
EN ISO 12543-1:2011,2011-08-15 00:00:00.0000000,Glass in building - Laminated glass and laminated safety glass - Part 1: Definitions and description of component parts (ISO 12543-1:2011)
EN 14449:2005,2005-05-11 00:00:00.0000000,Glass in building - Laminated glass and laminated safety glass - Evaluation of conformity/Product standard
EN ISO 12543-6:2011,2011-08-15 00:00:00.0000000,Glass in building - Laminated glass and laminated safety glass - Part 6: Appearance (ISO 12543-6:2011)
EN 1279-2:2018,2018-07-25 00:00:00.0000000,Glass in building - Insulating glass units - Part 2: Long term test method and requirements for moisture penetration
EN 1279-4:2018,2018-07-25 00:00:00.0000000,Glass in Building - Insulating Glass Units - Part 4: Methods of test for the physical attributes of edge seal components and inserts
EN 16477-1:2016,2016-12-07 00:00:00.0000000,Glass in building - Painted glass for internal use - Part 1: Requirements
EN 12758:2019,2019-09-04 00:00:00.0000000,"Glass in building - Glazing and airborne sound insulation - Product descriptions, determination of properties and extension rules"
EN 572-8:2012+A1:2016,2016-02-10 00:00:00.0000000,Glass in building - Basic soda-lime silicate glass products - Part 8: Supplied and final cut sizes
EN 12337-2:2004,2004-10-13 00:00:00.0000000,Glass in building - Chemically strengthened soda lime silicate glass - Part 2: Evaluation of conformity/Product standard
EN 1288-3:2000,2000-06-21 00:00:00.0000000,Glass in building - Determination of the bending strength of glass - Part 3: Test with specimen supported at two points (four point bending)
EN 572-7:2012,2012-07-18 00:00:00.0000000,Glass in building - Basic soda lime silicate glass products - Part 7: Wired or unwired channel shaped glass
EN 1096-1:2012,2012-01-18 00:00:00.0000000,Glass in building - Coated glass - Part 1: Definitions and classification
EN 1288-1:2000,2000-06-21 00:00:00.0000000,Glass in building - Determination of the bending strength of glass - Part 1: Fundamentals of testing glass
EN 14321-2:2005,2005-08-10 00:00:00.0000000,Glass in building - Thermally toughened alkaline earth silicate safety glass - Part 2: Evaluation of conformity/Product standard
EN 572-1:2012+A1:2016,2016-02-10 00:00:00.0000000,Glass in building - Basic soda-lime silicate glass products - Part 1: Definitions and general physical and mechanical properties
EN 1036-2:2008,2008-02-13 00:00:00.0000000,Glass in building - Mirrors from silver-coated float glass for internal use - Part 2: Evaluation of conformity; product standard
EN 356:1999,1999-11-17 00:00:00.0000000,Glass in building - Security glazing - Testing and classification of resistance against manual attack
EN 12150-2:2004,2004-10-06 00:00:00.0000000,Glass in building - Thermally toughened soda lime silicate safety glass - Part 2: Evaluation of conformity/Product standard
EN 410:2011,2011-02-09 00:00:00.0000000,Glass in building - Determination of luminous and solar characteristics of glazing
EN 1288-4:2000,2000-06-21 00:00:00.0000000,Glass in building - Determination of the bending strength of glass - Part 4: Testing of channel shaped glass
EN 13541:2012,2012-02-29 00:00:00.0000000,Glass in building - Security glazing - Testing and classification of resistance against explosion pressure
EN 1051-2:2007,2007-10-03 00:00:00.0000000,Glass in building - Glass blocks and glass pavers - Part 2: Evaluation of conformity/Product standard
EN 12600:2002,2002-11-20 00:00:00.0000000,Glass in building - Pendulum test - Impact test method and classification for flat glass
EN 12603:2002,2002-11-20 00:00:00.0000000,Glass in building - Procedures for goodness of fit and confidence intervals for Weibull distributed glass strength data
EN 673:2011,2011-02-09 00:00:00.0000000,Glass in building - Determination of thermal transmittance (U value) - Calculation method
EN 675:2011,2011-06-15 00:00:00.0000000,"Glass in building - Determination of thermal transmittance (U value) - Heat flow meter method "
EN 13022-1:2014,2014-06-04 00:00:00.0000000,Glass in building - Structural sealant glazing - Part 1: Glass products for structural sealant glazing systems for supported and unsupported monolithic and multiple glazing
EN 1288-5:2000,2000-06-21 00:00:00.0000000,Glass in building - Determination of the bending strength of glass - Part 5: Coaxial double ring test on flat specimens with small test surface areas
EN 13022-2:2014,2014-06-04 00:00:00.0000000,Glass in building - Structural sealant glazing - Part 2: Assembly rules
EN 12337-1:2000,2000-06-21 00:00:00.0000000,Glass in building - Chemically strengthened soda lime silicate glass - Part 1: Definition and description
EN 15682-2:2013,2013-07-31 00:00:00.0000000,Glass in building - Heat soaked thermally toughened alkaline earth silicate safety glass - Part 2: Evaluation of conformity/Product standard
EN 1288-2:2000,2000-06-21 00:00:00.0000000,Glass in building - Determination of bending strength of glass - Part 2: Coaxial double ring test on flat specimens with large test surface areas
EN 15755-1:2014,2014-08-13 00:00:00.0000000,Glass in building - Adhesive backed polymeric filmed glass - Part 1: Definitions and requirements
EN 14179-2:2005,2005-05-18 00:00:00.0000000,Glass in building - Heat soaked thermally toughened soda lime silicate safety glass - Part 2: Evaluation of conformity/Product standard
EN 1096-3:2012,2012-01-18 00:00:00.0000000,Glass in building - Coated glass - Part 3: Requirements and test methods for class C and D coatings
EN 15998:2010,2010-11-10 00:00:00.0000000,"Glass in building - Safety in case of fire, fire resistance - Glass testing methodology for the purpose of classification"
EN 1063:1999,1999-11-17 00:00:00.0000000,Glass in building - Security glazing - Testing and classification of resistance against bullet attack
EN 1096-2:2012,2012-01-18 00:00:00.0000000,"Glass in building - Coated glass - Part 2: Requirements and test methods for class A, B and S coatings"
EN 15683-2:2013,2013-12-11 00:00:00.0000000,Glass in building - Thermally toughened soda lime silicate channel shaped safety glass - Part 2: Evaluation of conformity/Product standard
EN 572-6:2012,2012-07-18 00:00:00.0000000,Glass in building - Basic soda lime silicate glass products - Part 6: Wired patterned glass
EN 14321-1:2005,2005-06-22 00:00:00.0000000,Glass in building - Thermally toughened alkaline earth silicate safety glass - Part 1: Definition and description
EN 1863-2:2004,2004-10-06 00:00:00.0000000,Glass in building - Heat strengthened soda lime silicate glass - Part 2: Evaluation of conformity/Product standard
EN 15683-1:2013,2013-07-24 00:00:00.0000000,Glass in building - Thermally toughened soda lime silicate channel shaped safety glass - Part 1: Definition and description
EN 1036-1:2007,2007-12-19 00:00:00.0000000,"Glass in building - Mirrors from silver-coated float glass for internal use - Part 1: Definitions, requirements and test methods"
EN 15682-1:2013,2013-07-31 00:00:00.0000000,Glass in building - Heat soaked thermally toughened alkaline earth silicate safety glass - Part 1: Definition and description
EN 572-5:2012,2012-07-18 00:00:00.0000000,Glass in building - Basic soda lime silicate glass products - Part 5: Patterned glass
EN 572-4:2012,2012-07-18 00:00:00.0000000,Glass in building - Basic soda lime silicate glass products - Part 4: Drawn sheet glass
EN 13024-2:2004,2004-10-13 00:00:00.0000000,Glass in building - Thermally toughened borosilicate safety glass - Part 2: Evaluation of conformity/Product standard
EN 15752-1:2014,2014-08-06 00:00:00.0000000,Glass in building - Adhesive backed polymeric film - Part 1: Definitions and requirements
EN 572-2:2012,2012-07-18 00:00:00.0000000,Glass in building - Basic soda lime silicate glass products - Part 2: Float glass
EN 1051-1:2003,2003-01-29 00:00:00.0000000,Glass in building - Glass blocks and glass pavers - Part 1: Definitions and description
EN 674:2011,2011-06-15 00:00:00.0000000,Glass in building - Determination of thermal transmittance (U value) - Guarded hot plate method
EN 572-3:2012,2012-07-18 00:00:00.0000000,Glass in building - Basic soda lime silicate glass products - Part 3: Polished wired glass
EN ISO 5353:1998,1998-09-23 00:00:00.0000000,"Earth-moving machinery, and tractors and machinery for agriculture and forestry - Seat index point (ISO 5353:1995)"
EN ISO 3411:2007,2007-07-15 00:00:00.0000000,Earth-moving machinery - Physical dimensions of operators and minimum operator space envelope (ISO 3411:2007)
EN ISO 3450:2011,2011-11-01 00:00:00.0000000,Earth-moving machinery - Wheeled or high-speed rubber-tracked machines - Performance requirements and test procedures for brake systems (ISO 3450:2011)
EN ISO 2867:2011,2011-07-15 00:00:00.0000000,Earth-moving machinery - Access systems (ISO 2867:2011)
EN ISO 6683:2008,2008-08-13 00:00:00.0000000,Earth-moving machinery - Seat belts and seat belt anchorages - Performance requirements and tests (ISO 6683:2005)
EN ISO 2860:2008,2008-09-17 00:00:00.0000000,Earth-moving machinery - Minimum access dimensions (ISO 2860:1992)
EN ISO 3457:2008,2008-09-17 00:00:00.0000000,Earth-moving machinery - Guards - Definitions and requirements (ISO 3457:2003)
EN ISO 3449:2008,2008-09-17 00:00:00.0000000,Earth-moving machinery - Falling-object protective structures - Laboratory tests and performance requirements (ISO 3449:2005)
EN 13035-3:2003+A1:2009/AC:2010,2010-04-28 00:00:00.0000000,"Machines and plants for the manufacture, treatment and processing of flat glass - Safety requirements - Part 3: Cutting machines"
EN 474-2:2006+A1:2008,2008-10-01 00:00:00.0000000,Earth-moving machinery - Safety - Part 2: Requirements for tractor-dozers
EN 474-11:2006+A1:2008,2008-10-01 00:00:00.0000000,Earth-moving machinery - Safety - Part 11: Requirements for earth and landfill compactors
EN 474-12:2006+A1:2008,2008-10-01 00:00:00.0000000,Earth-moving machinery - Safety - Part 12: Requirements for cable excavators
EN 13019:2001+A1:2008,2008-12-10 00:00:00.0000000,Machines for road surface cleaning - Safety requirements
EN 474-9:2006+A1:2009,2009-02-11 00:00:00.0000000,Earth-moving machinery - Safety - Part 9: Requirements for pipelayers
EN 474-10:2006+A1:2009,2009-02-11 00:00:00.0000000,Earth-moving machinery - Safety - Part 10: Requirements for trenchers
EN 474-8:2006+A1:2009,2009-02-11 00:00:00.0000000,Earth-moving machinery - Safety - Part 8: Requirements for graders
EN 12110:2014,2014-05-21 00:00:00.0000000,Tunnelling machines - Air locks - Safety requirements
EN 13367:2005+A1:2008/AC:2009,2009-11-25 00:00:00.0000000,Ceramic machines - Safety - Transfer platforms and cars
EN ISO 13766-2:2018,2018-06-06 00:00:00.0000000,Earth-moving and building construction machinery - Electromagnetic compatibility (EMC) of machines with internal electrical power supply - Part 2: Additional EMC requirements for functional safety (ISO 13766-2:2018)
